"EEC_MEASURE";"UNIT_MEASURE";"PCS";"SEX";"AGE";"EMPFORM";"EMPSTA";"EDUC";"IMMI";"WKTIME";"ACTIVITY";"UNDEREMP";"UNEMPDUR";"COMPOHALO";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"EMP";"_Z";"21";"F";"Y20T24";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;8
"EMP";"_Z";"68";"M";"Y50T54";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;44
"EMP";"_Z";"65";"M";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;50
"EMP";"_Z";"62";"M";"Y60T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;42
"EMP";"_Z";"33";"M";"Y40T44";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;41
"EMP";"_Z";"31";"M";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;38
"EMP";"_Z";"65";"_T";"Y40T44";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;57
"EMP";"_Z";"52";"_T";"Y55T59";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;328
"EMP";"_Z";"48";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;174
"EMP";"_Z";"33";"_T";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;58
"EMP";"_Z";"62";"F";"Y_GE65";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0.1
"EMP";"_Z";"48";"F";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0.3
"UNEMP";"_Z";"_T";"F";"Y15T24";"_T";"2_BIT";"3_X_353";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;122.1
"EMP";"_Z";"54";"_T";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;179.4
"EMP";"_Z";"42";"F";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;64
"PT_AGE_IN_EMP_BY_PCS";"PT";"22";"_T";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;5.2
"PT_AGE_IN_EMP_BY_PCS";"PT";"22";"_T";"Y50T64";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;36.8
"PT_AGE_IN_EMP_BY_PCS";"PT";"3_NP";"_T";"Y15T19";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"PT_AGE_IN_EMP_BY_PCS";"PT";"35";"F";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;6.4
"EMP";"_Z";"_T";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"K";"_T";"_T";"_T";"A";2024;973.8
"EMP";"_Z";"30";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"O";"_T";"_T";"_T";"A";2024;542.7
"EMP";"_Z";"30";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"E";"_T";"_T";"_T";"A";2024;36.2
"EMP";"_Z";"_T";"F";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"F";"_T";"_T";"_T";"A";2024;244.4
"EMP";"_Z";"_T";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"D";"_T";"_T";"_T";"A";2024;169.7
"EMP";"_Z";"60";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"D";"_T";"_T";"_T";"A";2024;17.3
"EMP";"_Z";"30";"M";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"N";"_T";"_T";"_T";"A";2024;93.6
"EMP";"_Z";"44";"_T";"Y25T29";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;0
"UNEMP";"_Z";"_T";"M";"Y25T49";"_T";"2_BIT";"3_X_353";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;135.1
"UNEMPB";"_Z";"_T";"_T";"Y20T24";"_T";"2_BIT";"_T";"_T";"_T";"_T";"_T";"LT";"_T";"A";2024;44.9
"EMP";"_Z";"_T";"F";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1718.2
"EMP";"_Z";"63";"F";"Y45T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;18.5
"EMP";"_Z";"62";"_T";"Y30T34";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;100.5
"EMP";"_Z";"20";"_T";"Y_GE15";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;1986.5
"EMP";"_Z";"63";"_T";"Y25T49";"_T";"1_BIT";"_T";"_T";"_T";"_T";"_T";"_T";"_T";"A";2024;817.1
